budget,revenue,title,cast,director,runtime,genres,release_date,release_year
1000000,12355734,Blue Valentine,Ryan Gosling|Michelle Williams|Mike Vogel|John Doman|Faith Wladyka,Derek Cianfrance,112,Drama|Romance,12/27/2010,2010
40000000,136000000,The Bounty Hunter,Gerard Butler|Jennifer Aniston|Gio Perez|Siobhan Fallon|Joel Garland,Andy Tennant,110,Action,3/16/2010,2010
19000000,29922472,Leap Year,Amy Adams|Matthew Goode|Adam Scott|John Lithgow|Flaminia Cinque,Anand Tucker,100,Romance|Comedy,1/8/2010,2010
100000000,94882889,Green Zone,Matt Damon|Greg Kinnear|Brendan Gleeson|Amy Ryan|Jason Isaacs,Paul Greengrass,115,Action|Adventure|Drama|Thriller,3/11/2010,2010
112000000,237382724,Gulliver's Travels,Emily Blunt|Jason Segel|Jack Black|Amanda Peet|Chris O'Dowd,Rob Letterman,85,Comedy,12/25/2010,2010
35000000,77477008,The Back-Up Plan,Jennifer Lopez|Alex O'Loughlin|Danneel Ackles|Eric Christian Olsen|Anthony Anderson,Alan Poul,106,Comedy|Romance,4/23/2010,2010
44000000,48190704,Charlie St. Cloud,Zac Efron|Amanda Crew|Kim Basinger|Chris Massoglia|Dave Franco,Burr Steers,99,Drama,5/1/2010,2010
19000000,49830607,The Switch,Jason Bateman|Jennifer Aniston|Jeff Goldblum|Juliette Lewis|Todd Louiso,Josh Gordon|Will Speck,101,Comedy|Romance|Drama,5/11/2010,2010
10000000,2995811,The Runaways,Dakota Fanning|Kristen Stewart|Michael Shannon|Riley Keough|Stella Maeve,Floria Sigismondi,106,Drama|Music,3/19/2010,2010
52000000,216485654,Valentine's Day,Jessica Alba|Jessica Biel|Bradley Cooper|Eric Dane|Patrick Dempsey,Garry Marshall,125,Comedy|Romance,2/10/2010,2010
25000000,36993168,Don't Be Afraid of the Dark,Katie Holmes|Guy Pearce|Bailee Madison|Alan Dale|Jack Thompson,Troy Nixey,99,Fantasy|Horror|Thriller,11/6/2010,2010
20000000,136150434,Saw 3D,Tobin Bell|Costas Mandylor|Betsy Russell|Cary Elwes|Sean Patrick Flanery,Kevin Greutert,90,Horror|Crime,10/21/2010,2010
40000000,357852395,The Karate Kid,Jaden Smith|Jackie Chan|Taraji P. Henson|Yu Rong-Guang|Tess Liu,Harald Zwart,140,Action|Adventure|Drama|Family,6/10/2010,2010
65000000,211780824,Due Date,Zach Galifianakis|Robert Downey Jr.|Michelle Monaghan|Jamie Foxx|Juliette Lewis,Todd Phillips,95,Comedy|Drama,11/4/2010,2010
8000000,3453043,Wild Target,Bill Nighy|Emily Blunt|Rupert Grint|Rupert Everett|Eileen Atkins,Jonathan Lynn,98,Action|Comedy,6/17/2010,2010
52000000,52615806,From Paris with Love,John Travolta|Jonathan Rhys Meyers|Kasia Smutniak|Richard Durden|Bing Yin,Pierre Morel,92,Action|Crime|Thriller,2/5/2010,2010
45000000,60222298,The Ghost Writer,Ewan McGregor|Pierce Brosnan|Jon Bernthal|Kim Cattrall|Tom Wilkinson,Roman Polanski,128,Thriller|Mystery,2/12/2010,2010
8000000,6491240,It's Kind of a Funny Story,Keir Gilchrist|Emma Roberts|Zach Galifianakis|Viola Davis|ZoÃ« Kravitz,Anna Boden|Ryan Fleck,101,Comedy|Drama,7/6/2010,2010
30000000,51148651,The Next Three Days,Russell Crowe|Elizabeth Banks|Brian Dennehy|RZA|Moran Atias,Paul Haggis,133,Romance|Drama|Thriller|Crime,11/18/2010,2010
35000000,115664037,A Nightmare on Elm Street,Jackie Earle Haley|Katie Cassidy|Kyle Gallner|Kellan Lutz|Thomas Dekker,Samuel Bayer,95,Horror|Mystery|Thriller,4/30/2010,2010
25000000,23580000,The Losers,Jeffrey Dean Morgan|Zoe Saldana|Chris Evans|Idris Elba|Columbus Short,Sylvain White,97,Action|Adventure|Crime|Mystery|Thriller,4/23/2010,2010
25000000,9190869,The Fighter,Mark Wahlberg|Christian Bale|Amy Adams|Melissa Leo|Mickey O'Keefe,David O. Russell,116,Drama,12/17/2010,2010
40000000,90029656,Get Him to the Greek,Jonah Hill|Russell Brand|Rose Byrne|Colm Meaney|Sean Combs,Nicholas Stoller,109,Comedy,6/4/2010,2010
47000000,10539000,Jonah Hex,Josh Brolin|John Malkovich|Megan Fox|Michael Fassbender|Will Arnett,Jimmy Hayward,80,Action|Western|Drama|Fantasy|Thriller,6/18/2010,2010
20000000,80547866,Vampires Suck,Chris Riggi|Matt Lanter|Jenn Proske|Ken Jeong|Bradley Dodds,Jason Friedberg|Aaron Seltzer,82,Horror|Comedy,8/18/2010,2010
2000000,7871522,Inside Job,Matt Damon|William Ackman|Barack Obama|George W. Bush|Jonathan Alpert,Charles Ferguson,109,Documentary,10/8/2010,2010
75000000,98159963,Killers,Katherine Heigl|Ashton Kutcher|Tom Selleck|Catherine O'Hara|Alex Borstein,Robert Luketic,100,Action|Comedy|Thriller|Romance,6/4/2010,2010
26000000,67918658,Legion,Paul Bettany|Dennis Quaid|Kevin Durand|Kate Walsh|Doug Jones,Scott Stewart,100,Horror,1/21/2010,2010
100000000,288347692,Sex and the City 2,Sarah Jessica Parker|Kristin Davis|Cynthia Nixon|Kim Cattrall|Chris Noth,Michael Patrick King,146,Comedy|Drama|Romance,5/26/2010,2010
20000000,32005248,You Again,Kristen Bell|Sigourney Weaver|Betty White|Kristin Chenoweth|Odette Annable,Andy Fickman,105,Comedy|Romance,9/24/2010,2010
35000000,93246388,Nanny McPhee and the Big Bang,Emma Thompson|Ralph Fiennes|Maggie Gyllenhaal|Maggie Smith|Rhys Ifans,Susanna White,109,Fantasy|Comedy,3/26/2010,2010
36000000,64572262,Hot Tub Time Machine,John Cusack|Lizzy Caplan|Rob Corddry|Craig Robinson|Clark Duke,Steve Pink,101,Science Fiction|Comedy|Adventure,3/26/2010,2010
20000000,24145613,Let Me In,Kodi Smit-McPhee|ChloÃ« Grace Moretz|Richard Jenkins|Elias Koteas|Sasha Barrese,Matt Reeves,116,Drama|Horror|Mystery,10/1/2010,2010
14000000,1755212,Flipped,Madeline Carroll|Callan McAuliffe|Anthony Edwards|Aidan Quinn|Rebecca De Mornay,Rob Reiner,90,Comedy|Drama|Romance,8/6/2010,2010
80000000,140073390,Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay|Abbie Cornish|Essie Davis|Joel Edgerton|Deborra-Lee Furness,Zack Snyder,97,Animation|Adventure|Family|Fantasy,7/10/2010,2010
32000000,69055695,Takers,Chris Brown|Hayden Christensen|Matt Dillon|Michael Ealy|Idris Elba,John Luessenhop,107,Action|Crime|Drama|Thriller,8/26/2010,2010
55000000,89519773,Burlesque,Cher|Christina Aguilera|Eric Dane|Cam Gigandet|Julianne Hough,Steve Antin,119,Drama|Romance,11/23/2010,2010
15000000,4882577,The Company Men,Ben Affleck|Tommy Lee Jones|Chris Cooper|Kevin Costner|Maria Bello,John Wells,104,Drama,10/21/2010,2010
32000000,42045846,Going the Distance,Drew Barrymore|Justin Long|Christina Applegate|Ron Livingston|Charlie Day,Nanette Burstein,102,Comedy|Drama|Romance,9/1/2010,2010
24000000,23081726,Faster,Dwayne Johnson|Billy Bob Thornton|Maggie Grace|Carla Gugino|Tom Berenger,"George Tillman, Jr.",98,Crime|Drama|Action|Thriller,11/23/2010,2010
3000000,177512032,Paranormal Activity 2,Katie Featherston|David Bierend|Brian Boland|Molly Ephraim|Seth Ginsberg,Tod Williams,91,Horror|Thriller,10/20/2010,2010
15000000,9455232,Never Let Me Go,Carey Mulligan|Andrew Garfield|Keira Knightley|Domhnall Gleeson|Andrea Riseborough,Mark Romanek,104,Drama|Romance|Science Fiction,9/15/2010,2010
20000000,65464324,The American,George Clooney|Violante Placido|Thekla Reuten|Paolo Bonacelli|Johan Leysen,Anton Corbijn,104,Crime|Drama|Thriller,8/31/2010,2010
30000000,55583804,Cop Out,Bruce Willis|Tracy Morgan|Juan Carlos HernÃ¡ndez|Seann William Scott|Michelle Trachtenberg,Kevin Smith,107,Action|Comedy|Crime,2/26/2010,2010
500000,4242978,Monsters,Whitney Able|Scoot McNairy|Annalee Jefferies|Kevon Kane|Fernando Lara,Gareth Edwards,94,Drama|Thriller|Science Fiction,6/18/2010,2010
38000000,105610124,Life as We Know It,Katherine Heigl|Josh Duhamel|Christina Hendricks|Josh Lucas|Jean Smart,Greg Berlanti,115,Comedy|Romance|Drama,10/8/2010,2010
12000000,6814789,Centurion,Michael Fassbender|Olga Kurylenko|David Morrissey|Liam Cunningham|Dominic West,Neil Marshall,97,Drama|Action|Thriller,2/15/2010,2010
3200000,5332926,Beginners,Ewan McGregor|Christopher Plummer|MÃ©lanie Laurent|Goran Visnjic|Kai Lennox,Mike Mills,105,Drama|Romance|Comedy,9/11/2010,2010
22000000,851517,Shelter,Julianne Moore|Jonathan Rhys Meyers|Jeffrey DeMunn|Frances Conroy|Nate Corddry,,112,Horror|Mystery|Thriller,3/27/2010,2010
22000000,9479718,Stone,Frances Conroy|Robert De Niro|Edward Norton|Milla Jovovich,John Curran,105,Drama,10/7/2010,2010
15000000,75700498,Diary of a Wimpy Kid,Zachary Gordon|Robert Capron|ChloÃ« Grace Moretz|Steve Zahn|Rachael Harris,Thor Freudenthal,94,Comedy|Family,3/19/2010,2010
2000000,572809,I Spit on Your Grave,Sarah Butler|Daniel Franzese|Chad Lindberg|Jeff Branson|Rodney Eastman,Steven R. Monroe,108,Thriller|Crime|Horror,6/17/2010,2010
24000000,83188165,Piranha 3D,Elisabeth Shue|Adam Scott|Jerry O'Connell|Steven R. McQueen|Jessica Szohr,Alexandre Aja,88,Comedy|Horror,8/20/2010,2010
40000000,58785180,Morning Glory,Rachel McAdams|Harrison Ford|Patrick Wilson|Jeff Goldblum|Diane Keaton,Roger Michell,102,Comedy|Drama|Romance,1/12/2010,2010
12500000,6732980,Conviction,Hilary Swank|Minnie Driver|Bailee Madison|Loren Dean|John Pyper-Ferguson,Tony Goldwyn,107,Drama,9/11/2010,2010
90000000,16178959,The Nutcracker: The Untold Story,Nathan Lane|John Turturro|Frances de la Tour|Elle Fanning|Jonny Coyne,Andrei Konchalovsky,110,Fantasy|Action|Family,11/24/2010,2010
1800000,67738090,The Last Exorcism,Ashley Bell|Patrick Fabian|Iris Bahr|Louis Herthum|Caleb Landry Jones,Daniel Stamm,87,Horror|Drama|Thriller,8/27/2010,2010
48000000,112462508,Tooth Fairy,Dwayne Johnson|Stephen Merchant|Ashley Judd|Julie Andrews|Ryan Sheckler,Michael Lembeck,101,Comedy|Family|Fantasy,1/14/2010,2010
22000000,24188922,Fair Game,Naomi Watts|Sean Penn|Ty Burrell|Brooke Smith|Bruce McGill,Doug Liman,108,Drama|Thriller,5/20/2010,2010
10000000,498974,The Ward,Lyndsy Fonseca|Amber Heard|Danielle Panabaker|Jared Harris|Mamie Gummer,John Carpenter,88,Horror|Thriller,9/13/2010,2010
1987650,19152480,Buried,Ryan Reynolds|JosÃ© Luis GarcÃ­a PÃ©rez|Robert Paterson|Stephen Tobolowsky|Samantha Mathis,Rodrigo CortÃ©s,94,Drama|Thriller|Mystery,9/24/2010,2010
69000000,86387857,Dinner for Schmucks,Steve Carell|Paul Rudd|Stephanie Szostak|Jemaine Clement|Zach Galifianakis,Jay Roach,114,Comedy,7/30/2010,2010
4000000,34705850,The Kids Are All Right,Julianne Moore|Annette Bening|Mark Ruffalo|Mia Wasikowska|Josh Hutcherson,Lisa Cholodenko,106,Comedy|Drama,7/9/2010,2010
10000000,66821036,Skyline,Eric Balfour|Scottie Thompson|David Zayas|Donald Faison|Brittany Daniel,Colin Strause|Greg Strause,100,Science Fiction,11/11/2010,2010
20000000,45636368,The Debt,Helen Mirren|Sam Worthington|Jessica Chastain|Tom Wilkinson|CiarÃ¡n Hinds,John Madden,113,Drama|Thriller,4/11/2010,2010
2000000,13831503,Winter's Bone,Jennifer Lawrence|John Hawkes|Kevin Breznahan|Dale Dickey|Garret Dillahunt,Debra Granik,100,Drama,6/11/2010,2010
7000000,46488,Ca$h,Sean Bean|Chris Hemsworth|Victoria Profeta|Thampy Antony|Mike Starr,Stephen Milburn Anderson,108,Crime|Thriller|Comedy,1/1/2010,2010
85000000,112483764,Cats & Dogs 2 : The Revenge of Kitty Galore,James Marsden|Nick Nolte|Christina Applegate|Bette Midler|Pascale Hutton,Brad Peyton,82,Comedy|Family,7/30/2010,2010
10000000,6110000,MacGruber,Will Forte|Kristen Wiig|Val Kilmer|Ryan Phillippe|Maya Rudolph,Jorma Taccone,90,Action|Adventure|Comedy,5/21/2010,2010
120000000,48668907,How Do You Know,Reese Witherspoon|Paul Rudd|Owen Wilson|Jack Nicholson|Kathryn Hahn,James L. Brooks,121,Comedy|Drama|Romance,12/17/2010,2010
500000,98017,Rubber,Thomas F. Duffy|David Bowe|Stephen Spinella|Roxane Mesquida|Jack Plotnick,Quentin Dupieux,85,Comedy|Drama|Fantasy|Horror|Mystery,7/9/2010,2010
28000000,45236543,The Spy Next Door,Amber Valletta|Lucas Till|Jackie Chan|Billy Ray Cyrus|George Lopez,Brian Levant,94,Action|Comedy|Family,1/15/2010,2010
20000000,49779728,She's Out of My League,Alice Eve|Jay Baruchel|Mike Vogel|Krysten Ritter|Debra Jo Rupp,Jim Field Smith,104,Comedy|Romance,3/11/2010,2010
12000000,204940,Henry's Crime,Keanu Reeves|Vera Farmiga|James Caan|Judy Greer|Fisher Stevens,Malcolm Venville,108,Action|Comedy|Thriller,1/14/2010,2010
25000000,4644108,London Boulevard,Keira Knightley|Colin Farrell|Anna Friel|Ray Winstone|Jamie Campbell Bower,William Monahan,103,Drama|Crime,11/10/2010,2010
50000000,105197635,Hereafter,Matt Damon|Bryce Dallas Howard|George McLaren|Thierry Neuvic|Cyndi Mayo Davis,Clint Eastwood,129,Drama|Fantasy,10/15/2010,2010
25000000,19829957,My Soul to Take,Max Thieriot|John Magaro|Denzel Whitaker|Zena Grey|Nick Lashaway,Wes Craven,107,Drama|Horror|Mystery|Thriller,10/8/2010,2010
30000000,967000,TEKKEN,Jon Foo|Kelly Overton|Cary-Hiroyuki Tagawa|Ian Anthony Dale|Luke Goss,Dwight H. Little,92,Crime|Drama|Action|Thriller|Science Fiction,3/20/2010,2010
30000000,967000,TEKKEN,Jon Foo|Kelly Overton|Cary-Hiroyuki Tagawa|Ian Anthony Dale|Luke Goss,Dwight H. Little,92,Crime|Drama|Action|Thriller|Science Fiction,3/20/2010,2010
25000000,15478800,The Conspirator,Evan Rachel Wood|James McAvoy|Kevin Kline|Robin Wright|Alexis Bledel,Robert Redford,122,Crime|Drama|History,9/10/2010,2010
21000000,49050886,Death at a Funeral,Zoe Saldana|James Marsden|Martin Lawrence|Peter Dinklage|Danny Glover,Neil LaBute,92,Comedy,4/15/2010,2010
7000000,382946,Hesher,Joseph Gordon-Levitt|Natalie Portman|Rainn Wilson|Audrey Wasilewski|Frank Collison,Spencer Susser,106,Drama,1/22/2010,2010
5000000,1000000,Animal Kingdom,James Frecheville|Ben Mendelsohn|Joel Edgerton|Guy Pearce|Luke Ford,David MichÃ´d,113,Drama|Thriller|Crime,6/3/2010,2010
50000000,83761844,Marmaduke,Owen Wilson|Emma Stone|George Lopez|Christopher Mintz-Plasse|Steve Coogan,Tom Dey,87,Family|Comedy,6/4/2010,2010
70000000,134748021,Wall Street: Money Never Sleeps,Michael Douglas|Shia LaBeouf|Josh Brolin|Carey Mulligan|Frank Langella,Oliver Stone,133,Drama|Crime,9/2/2010,2010
18000000,871279,Carlos,Edgar RamÃ­rez|Alexander Scheer|Fadi Abi Samra|Nora von WaldstÃ¤tten|Talal El-Jordi,Olivier Assayas,338,Crime|Drama|Thriller|History,5/19/2010,2010
8000000,18124262,Another Year,Jim Broadbent|Lesley Manville|Ruth Sheen|Oliver Maltman|Peter Wight,Mike Leigh,129,Comedy|Drama,11/5/2010,2010
5000000,2614773,Everything Must Go,Rebecca Hall|Will Ferrell|Glenn Howerton|Laura Dern|Christopher Jordan Wallace,Dan Rush,97,Comedy|Drama|Romance,10/15/2010,2010
20000000,54956140,The Crazies,Timothy Olyphant|Radha Mitchell|Joe Anderson|Danielle Panabaker|Christie Lynn Smith,Breck Eisner,101,Mystery|Horror|Action,2/26/2010,2010
5000000,5129058,Rabbit Hole,Nicole Kidman|Sandra Oh|Dianne Wiest|Aaron Eckhart|Tammy Blanchard,John Cameron Mitchell,91,Drama,12/16/2010,2010
20000000,39300000,Alpha and Omega,Hayden Panettiere|Justin Long|Dennis Hopper|Christina Ricci|Danny Glover,Anthony Bell|Ben Gluck,88,Family|Animation,9/17/2010,2010
80000000,201584141,Yogi Bear,Dan Aykroyd|Justin Timberlake|Anna Faris|Tom Cavanagh|Christine Taylor,Eric Brevig,80,Comedy|Family|Animation|Adventure,12/11/2010,2010
5773100,18144030,StreetDance 3D,Nichola Burley|Rachel McDowall|Richard Winsor|Eleanor Bron|Patrick Baladi,Max Giwa|Dania Pasquini,98,Drama,5/19/2010,2010
2500000,324138,Super,Rainn Wilson|Ellen Page|Liv Tyler|Kevin Bacon|Gregg Henry,James Gunn,96,Comedy|Action|Drama,9/9/2010,2010
20000000,346594,The Tempest,Helen Mirren|Felicity Jones|Reeve Carney|David Strathairn|Tom Conti,Julie Taymor,110,Fantasy|Drama,12/10/2010,2010
15000000,20529194,Country Strong,Gwyneth Paltrow|Garrett Hedlund|Tim McGraw|Leighton Meester|Marshall Chapman,Shana Feste,117,Drama|Romance,12/22/2010,2010
27000000,16504936,"Tomorrow, When the War Began",Caitlin Stasey|Rachel Hurd-Wood|Phoebe Tonkin|Deniz Akdeniz|Lincoln Lewis,Stuart Beattie,103,Action|Adventure|Drama,8/8/2010,2010
31000000,15134293,Extraordinary Measures,Harrison Ford|Brendan Fraser|Keri Russell|Courtney B. Vance|Meredith Droeger,Tom Vaughan,105,Drama,1/21/2010,2010
10000000,33583175,Devil,Chris Messina|Jacob Vargas|Bojana NovakoviÄ‡|Logan Marshall-Green|Bokeem Woodbine,John Erick Dowdle,80,Horror|Mystery|Thriller,1/13/2010,2010
14000000,21409028,Our Family Wedding,Forest Whitaker|America Ferrera|Carlos Mencia|Regina King|Lance Gross,Rick Famuyiwa,103,Comedy,3/12/2010,2010
100000,1000000,Halo Legends,Andy McAvin,Shinji Aramaki|Hideki Futamura,93,Action|Animation|Science Fiction,2/16/2010,2010
30000000,8454301,Barney's Version,Paul Giamatti|Dustin Hoffman|Rosamund Pike|Minnie Driver|Rachelle Lefevre,Richard J. Lewis,134,Comedy|Drama,10/26/2010,2010
80000000,74901339,Edge of Darkness,Mel Gibson|Ray Winstone|Danny Huston|Shawn Roberts|Denis O'Hare,Martin Campbell,117,Crime|Drama|Mystery|Thriller,1/29/2010,2010
4600000,1163967,4.3.2.1,Emma Roberts|Noel Clarke|Ophelia Lovibond|Tamsin Egerton|Shanika Warren-Markland,Noel Clarke|Mark Davis,117,Action|Thriller|Crime|Romance,6/2/2010,2010
4000000,55125,Dirty Girl,Juno Temple|Jeremy Dozier|Milla Jovovich|Mary Steenburgen|Dwight Yoakam,Abe Sylvia,90,Drama|Comedy,9/12/2010,2010
30000,3045943,Catfish,Megan Faccio|Melody C. Roscher|Ariel Schulman|Angela Wesselman-Pierce|Nev Schulman,Henry Joost|Ariel Schulman,87,Documentary,9/17/2010,2010
35000000,39340177,Furry Vengeance,Brendan Fraser|Ken Jeong|Brooke Shields|Angela Kinsey|Rob Riggle,Roger Kumble,92,Comedy,4/2/2010,2010
12500000,1083683,Casino Jack,Kevin Spacey|Kelly Preston|Hannah Endicott-Douglas|Rachelle Lefevre|Barry Pepper,George Hickenlooper,108,Crime|Comedy|Drama,9/16/2010,2010
2500000,52604,Hatchet II,Danielle Harris|Kane Hodder|Parry Shen|Tony Todd|Tom Holland,Adam Green,89,Horror|Comedy|Thriller,8/26/2010,2010
20000000,4634062,Dylan Dog: Dead of Night,Brandon Routh|Peter Stormare|Sam Huntington|Taye Diggs|Anita Briem,Kevin Munroe,107,Action|Comedy|Horror|Mystery|Science Fiction,10/26/2010,2010
30000,617000,Howl,James Franco|Jon Hamm|Mary-Louise Parker|Treat Williams|Jeff Daniels,Rob Epstein|Jeffrey Friedman,84,Drama,8/26/2010,2010
3000000,103735,Freakonomics,Zoe Sloane|Jade Viggiano|Amancaya Aguilar|Kahiry Bess|Alisha Naragsheth,Alex Gibney|Rachel Grady|Heidi Ewing|Seth Gordon|Eugene Jarecki|Morgan Spurlock,93,Documentary,10/1/2010,2010
12500000,3878993,The Perfect Game,"Clifton Collins, Jr.|Cheech Marin|MoisÃ©s Arias|Emilie de Ravin|Jake T. Austin",William Dear,118,Drama|Family,4/1/2010,2010
650000,33245,Stake Land,Danielle Harris|Kelly McGillis|Nick Damici|Connor Paolo|Gregory Jones,Jim Mickle,98,Drama|Horror|Action|Thriller|Science Fiction,9/30/2010,2010
425000000,11087569,The Warrior's Way,Kate Bosworth|Jang Dong-gun|Geoffrey Rush|Danny Huston|Ti Lung,Sngmoo Lee,100,Adventure|Fantasy|Action|Western|Thriller,12/2/2010,2010
10000000,4349187,Burke & Hare,Simon Pegg|Andy Serkis|Isla Fisher|Tom Wilkinson|Tim Curry,John Landis,91,Comedy|Thriller,10/29/2010,2010
10000000,55089,Inhale,Rosanna Arquette|Diane Kruger|Dermot Mulroney|Sam Shepard|Jordi MollÃ ,,100,Drama|Action|Thriller,8/27/2010,2010
967686,4270000,Four Lions,Riz Ahmed|Nigel Lindsay|Kayvan Novak|Adeel Akhtar|Arsher Ali,Chris Morris,101,Comedy|Crime|Drama,5/7/2010,2010
1500000,187716,Waste Land,Vik Muniz,Lucy Walker,90,Documentary|Foreign,1/24/2010,2010
7000000,453079,The Extra Man,Kevin Kline|Paul Dano|Katie Holmes|John C. Reilly|Dan Hedaya,Shari Springer Berman|Robert Pulcini,108,,8/1/2010,2010
4500000,123820,The Romantics,Katie Holmes|Anna Paquin|Josh Duhamel|Dianna Agron|Adam Brody,Galt Niederhoffer,95,Comedy|Drama|Romance,9/10/2010,2010
7000000,3218666,Balada triste de trompeta,Santiago Segura|Antonio de la Torre|RaÃºl ArÃ©valo|Fran Perea|Carolina Bang,Ãlex de la Iglesia,101,Drama|Action|Thriller|Foreign,12/17/2010,2010
20000000,60072596,Why Did I Get Married Too?,Tyler Perry|Janet Jackson|Jill Scott|Sharon Leal|Malik Yoba,Tyler Perry,121,Comedy|Romance,4/2/2010,2010
60000000,296221663,Resident Evil: Afterlife,Milla Jovovich|Wentworth Miller|Ali Larter|Kim Coates|Kacey Barnfield,Paul W.S. Anderson,97,Action|Adventure|Horror|Science Fiction,9/9/2010,2010
10000000,1068682,Vanishing on 7th Street,Hayden Christensen|Thandie Newton|John Leguizamo|Neal Huff|Jacob Latimore,Brad Anderson,92,Drama|Horror|Thriller,9/11/2010,2010
10000000,5000000,Action Replayy,Akshay Kumar|Aishwarya Rai Bachchan|Neha Dhupia|Aditya Roy Kapoor|Randhir Kapoor,Vipul Amrutlal Shah,100,Drama|Comedy|Romance|Foreign,11/5/2010,2010
35000000,60251371,Secretariat,Diane Lane|John Malkovich|Scott Glenn|Dylan Walsh|Fred Dalton Thompson,Randall Wallace,123,Drama,8/20/2010,2010
3,43,Boy,James Rolleston|Craig Hall|Taika Waititi|Te Aho Aho Eketone-Whitu|Ei Kura Albert,Taika Waititi,87,Drama|Comedy,2/14/2010,2010
63000000,100853753,Fight Club,Edward Norton|Brad Pitt|Meat Loaf|Jared Leto|Helena Bonham Carter,David Fincher,139,Drama,10/14/1999,1999
63000000,463517383,The Matrix,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster,Lilly Wachowski|Lana Wachowski,136,Action|Science Fiction,3/30/1999,1999
15000000,356296601,American Beauty,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari,Sam Mendes,122,Drama,9/15/1999,1999
115000000,924317558,Star Wars: Episode I - The Phantom Menace,Liam Neeson|Ewan McGregor|Natalie Portman|Jake Lloyd|Ian McDiarmid,George Lucas,136,Adventure|Action|Science Fiction,5/19/1999,1999
80000000,415885488,The Mummy,Brendan Fraser|Rachel Weisz|John Hannah|Arnold Vosloo|Kevin J. O'Connor,Stephen Sommers,124,Adventure|Fantasy|Horror|Action|Thriller,5/6/1999,1999
60000000,284600000,The Green Mile,Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt|James Cromwell,Frank Darabont,189,Fantasy|Drama|Crime,12/10/1999,1999
40000000,672806292,The Sixth Sense,Bruce Willis|Haley Joel Osment|Toni Collette|Olivia Williams|Mischa Barton,M. Night Shyamalan,107,Mystery|Thriller|Drama,8/2/1999,1999
135000000,361832400,The World Is Not Enough,Pierce Brosnan|Sophie Marceau|Robert Carlyle|Denise Richards|Robbie Coltrane,Michael Apted,128,Adventure|Action|Thriller,11/8/1999,1999
10500000,75902208,Cruel Intentions,Sarah Michelle Gellar|Ryan Phillippe|Reese Witherspoon|Selma Blair|Louise Fletcher,Roger Kumble,97,Drama|Romance|Thriller,3/5/1999,1999
100000000,206071502,Sleepy Hollow,Johnny Depp|Ian McDiarmid|Christina Ricci|Casper Van Dien|Michael Gough,Tim Burton,105,Drama|Fantasy|Thriller|Mystery,11/18/1999,1999
11000000,235483004,American Pie,Jason Biggs|Chris Klein|Thomas Ian Nicholas|Alyson Hannigan|Shannon Elizabeth,Paul Weitz|Chris Weitz,95,Comedy|Romance,7/9/1999,1999
66000000,212404396,Entrapment,Sean Connery|Catherine Zeta-Jones|Will Patton|Maury Chaykin|Ving Rhames,Jon Amiel,112,Romance|Drama|Mystery,4/30/1999,1999
90000000,485015179,Toy Story 2,Tom Hanks|Tim Allen|Kelsey Grammer|Joan Cusack|Don Rickles,John Lasseter|Lee Unkrich|Ash Brannon,92,Animation|Comedy|Family,10/30/1999,1999
16000000,53478166,10 Things I Hate About You,Julia Stiles|Heath Ledger|Joseph Gordon-Levitt|Larisa Oleynik|Larry Miller,Gil Junger,97,Comedy|Romance|Drama,3/30/1999,1999
42000000,363889678,Notting Hill,Julia Roberts|Hugh Grant|Gina McKee|Tim McInnerny|Rhys Ifans,Roger Michell,124,Comedy,5/13/1999,1999
33000000,310940086,Austin Powers: The Spy Who Shagged Me,Mike Myers|Heather Graham|Michael York|Robert Wagner|Rob Lowe,Jay Roach,95,Crime|Adventure|Action|Comedy|Science Fiction,6/8/1999,1999
2000000,11540607,Boys Don't Cry,Hilary Swank|ChloÃ« Sevigny|Peter Sarsgaard|Brendan Sexton III|Alicia Goranson,Kimberly Peirce,118,Crime|Drama,9/2/1999,1999
90000000,60289912,The Insider,Al Pacino|Russell Crowe|Christopher Plummer|Diane Venora|Bruce McGill,Michael Mann,157,Drama|Thriller,10/28/1999,1999
45000000,90683916,Galaxy Quest,Tim Allen|Sigourney Weaver|Alan Rickman|Tony Shalhoub|Sam Rockwell,Dean Parisot,102,Comedy|Family|Science Fiction,12/23/1999,1999
65000000,162091208,Eyes Wide Shut,Tom Cruise|Nicole Kidman|Madison Eginton|Jackie Sawiris|Sydney Pollack,Stanley Kubrick,159,Drama,7/14/1999,1999
13000000,22863596,Being John Malkovich,John Cusack|Cameron Diaz|Catherine Keener|John Malkovich|Orson Bean,Spike Jonze,112,Fantasy|Drama|Comedy,9/30/1999,1999
80000000,176885658,Analyze This,Robert De Niro|Billy Crystal|Lisa Kudrow|Chazz Palminteri|Joe Viterelli,Harold Ramis,103,Comedy|Crime,3/5/1999,1999
133000000,300135367,Stuart Little,Michael J. Fox|Geena Davis|Hugh Laurie|Jonathan Lipnicki|Nathan Lane,Rob Minkoff,84,Fantasy,12/17/1999,1999
73000000,151493655,The Bone Collector,Denzel Washington|Angelina Jolie|Queen Latifah|Michael Rooker|Michael McGlone,Phillip Noyce,118,Drama|Mystery|Thriller|Crime,11/1/1999,1999
